SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,customer_notes,Churn
0,59,45.861875760222304,2280.8232742726195,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,Customer has issues with bills.,0
0,34,76.476043541318,702.2593411538586,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,Customer has issues with bills.,0
0,11,24.142184392469687,2158.9927486692186,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,No issues reported.,1
0,31,33.292589309830106,2581.998864930872,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,No issues reported.,0
0,11,93.20266919358178,4389.7268170084035,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,No issues reported.,1
0,56,36.99330863218279,6194.436432333723,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,Customer has issues with bills.,0
0,38,41.91920238144462,3176.645594529032,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,No issues reported.,0
0,21,97.94471469034619,7559.063433284934,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,No issues reported.,1
0,10,27.626768424903986,6621.950570696498,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,No issues reported.,1
0,26,62.21611918846951,7878.692149346083,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,No issues reported.,1
0,8,20.567870393221312,7011.883622832846,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,No issues reported.,0
0,8,53.10414363144933,4940.802345900137,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,No issues reported.,0
0,60,88.49763096238082,4795.162055531096,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,No issues reported.,0
0,72,27.305379611581444,1052.0951622204718,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,No issues reported.,0
0,34,107.52762999126539,5784.2602048402705,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,No issues reported.,0
0,16,109.65465381554196,4808.9510855903045,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,Customer has issues with bills.,1
0,13,28.801532700076077,4064.455316280901,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,No issues reported.,0
0,22,117.81860985576556,5551.892495034138,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,No issues reported.,1
0,27,48.151720116246636,3562.528869572156,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,No issues reported.,0
1,64,26.702217948726407,4199.566860427338,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,No issues reported.,0
1,2,18.759245006974858,3197.7985088633914,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,No issues reported.,0
1,26,59.30655102426819,5744.125128161503,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,No issues reported.,0
0,69,81.54590356346483,7015.139614170606,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,No issues reported.,0
0,30,51.634014615282986,6729.664092921651,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,Customer has issues with bills.,0
0,8,102.34009523019958,6292.107215180848,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,No issues reported.,0
0,38,90.26893069428753,128.30001074846928,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,No issues reported.,0
0,61,53.44123396278729,7296.651892553911,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,No issues reported.,0
0,65,92.04812149416476,2212.2392838839496,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,No issues reported.,0
0,67,112.76901756540961,7105.836019247926,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,Customer has issues with bills.,1
1,46,27.60614785357322,1590.400156833631,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,No issues reported.,0
0,72,49.013447995840494,3527.392476434397,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,No issues reported.,0
0,43,64.81425688122768,5999.763826618843,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,No issues reported.,0
0,59,68.29800783935424,5128.796471466072,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,No issues reported.,0
0,46,72.7406623110504,3338.034928866402,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,Customer has issues with bills.,0
0,72,48.46300410713418,5434.855968536717,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,No issues reported.,0
0,35,85.30959442122608,4399.827751814765,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,No issues reported.,1
1,39,83.08099260474789,2219.1082654881598,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,No issues reported.,0
0,51,76.3210613802972,5177.090051596795,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,No issues reported.,0
1,4,29.6830530319431,1648.4991814303994,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,No issues reported.,0
1,51,66.18527305514243,5557.490987885594,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,No issues reported.,0
0,5,54.05080219268225,43.08024746931824,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,No issues reported.,1
1,55,67.59936621873132,4398.415011718005,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,No issues reported.,0
0,20,110.89757676926011,3219.4715362462284,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,No issues reported.,1
0,24,66.54339998742003,2437.5485465436927,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,No issues reported.,0
0,36,19.65506957987094,4134.502067475068,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,No issues reported.,0
0,34,62.35309217745516,5168.9661229933245,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,No issues reported.,0
0,54,100.7251420949629,7723.131180849324,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,Customer has issues with bills.,0
0,34,96.64612278342591,6667.562492164324,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,No issues reported.,0
1,17,69.84570238958219,5742.361079304207,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,No issues reported.,0
0,5,43.351785792361184,3841.244147295027,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,No issues reported.,0
0,18,64.99141062291179,3148.2463271309593,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,No issues reported.,0
0,55,74.90207305152826,277.89357049178324,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,Customer has issues with bills.,0
0,53,118.73707954655045,2884.471705991558,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,No issues reported.,0
1,50,82.98989806202242,6789.784226600157,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,No issues reported.,0
0,72,88.02362547129266,3083.4382071892524,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,Customer has issues with bills.,0
1,45,67.64114142858922,3702.5060662642873,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,No issues reported.,1
0,13,53.87619985364425,2187.9644139607835,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,No issues reported.,1
0,16,99.9517748565442,2206.30914765859,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,No issues reported.,0
0,13,67.99069859609324,512.0949274977128,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,No issues reported.,1
1,20,118.21635806143478,4917.479483315845,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,Customer has issues with bills.,1
0,66,64.19061771393842,3594.6279577571936,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,Customer has issues with bills.,0
0,47,25.084028506581525,4854.87767518965,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,No issues reported.,0
0,19,86.84910277755331,4383.364514305295,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,No issues reported.,0
0,45,22.93746581804401,6394.427784659225,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,No issues reported.,0
0,37,43.42541048691268,6012.639331092097,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,Customer has issues with bills.,0
0,54,53.80069440438029,6175.801792283269,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,No issues reported.,0
1,6,92.56810035494343,4003.050943656719,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,Customer has issues with bills.,1
0,14,67.92071060396509,2842.842476169235,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,No issues reported.,0
0,4,21.12891609668079,7468.707506486396,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,Customer has issues with bills.,0
0,55,80.24341005323018,451.4177663621045,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,No issues reported.,0
0,34,59.599341861379564,1236.4351239335758,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,No issues reported.,1
0,27,110.89436825169427,3367.385053980894,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,No issues reported.,1
0,7,68.45601226959366,4918.706493384723,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,No issues reported.,0
0,3,89.50200216690357,83.70334161355048,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,No issues reported.,1
1,47,40.246283479119455,5759.704913036708,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,No issues reported.,1
0,2,94.72784323543115,4477.865582913402,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,No issues reported.,1
0,25,90.70600870360907,3887.0262440695483,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,No issues reported.,1
0,60,109.11021170840148,3398.481526164337,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,No issues reported.,0
0,24,21.64907499277952,4164.66561559573,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,No issues reported.,0
0,15,63.22382011055384,1309.583286199689,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,No issues reported.,1
0,14,86.50511797533284,885.9599249740553,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,No issues reported.,0
0,54,27.813971958061607,2330.0639460274865,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,No issues reported.,0
0,6,59.5157087484657,5681.339873428865,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,No issues reported.,1
0,18,112.93573360815263,4713.816816803973,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,No issues reported.,1
0,20,62.06141633455839,3850.4718958805543,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,No issues reported.,1
0,62,117.28318073980346,4579.987469540081,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,No issues reported.,1
0,40,23.96232563852187,4482.107645576778,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,No issues reported.,0
0,39,90.39189250215958,2468.9818887792117,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,No issues reported.,0
0,52,76.64213174295108,796.1190069205904,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,No issues reported.,0
0,32,68.55423755177861,7176.142671076304,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,No issues reported.,1
1,27,115.82016384924344,4806.59172044843,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,Customer has issues with bills.,1
0,52,31.27986524935843,5587.500096452638,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,No issues reported.,0
0,63,108.2978946439318,3721.759845590944,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,Customer has issues with bills.,0
0,63,87.71966131922933,6056.288869227928,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,No issues reported.,0
0,17,44.27910536661309,4683.561036761726,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,No issues reported.,1
0,49,108.86774913604549,447.6771062992482,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,No issues reported.,0
0,23,61.39413924503183,7122.782012253594,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,No issues reported.,1
0,72,100.07984647134361,2456.963139624216,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,No issues reported.,0
1,13,57.328069963263694,1118.8597126827444,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,No issues reported.,1
1,23,103.76854815704073,720.9713132439224,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,No issues reported.,1
0,57,82.23122640372739,5768.624475009268,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,Customer has issues with bills.,0
1,62,32.42518667516458,5637.149511740699,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,Customer has issues with bills.,0
1,54,83.54114792868752,5606.769039728323,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,Customer has issues with bills.,0
0,20,37.4801486515382,7327.559693351089,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,No issues reported.,0
1,52,59.64822410336335,2803.4259658297547,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,No issues reported.,0
0,23,35.364706217329385,4497.073772592835,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,Customer has issues with bills.,0
1,35,20.462619624545418,4962.908869565149,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,No issues reported.,0
1,67,39.544597214720724,7836.229085160363,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,No issues reported.,0
0,34,72.15538838427463,2511.31883262587,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,Customer has issues with bills.,0
0,33,66.64687726162327,7651.446554833276,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,No issues reported.,0
0,46,68.6504581013744,1205.4102630802975,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,Customer has issues with bills.,0
0,45,43.14253128388343,6116.318621650228,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,No issues reported.,0
1,19,87.1087006617257,5069.7870324879295,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,Customer has issues with bills.,0
1,15,89.02846032544475,6538.509945495686,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,No issues reported.,0
0,66,54.225766468746386,247.2110773998499,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,No issues reported.,0
0,39,106.80759389165452,641.8724519788087,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,Customer has issues with bills.,1
0,18,82.97433327187255,574.5442885760299,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,No issues reported.,0
0,70,89.91044716349249,4751.104133915477,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,Customer has issues with bills.,0
0,59,46.12266175286341,4830.73495737105,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,No issues reported.,0
0,32,18.311469333136497,7250.5527006090815,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,Customer has issues with bills.,0
1,21,105.22024901626202,3750.544352007598,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,No issues reported.,0
0,40,100.90365065027075,561.4005447858709,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,Customer has issues with bills.,0
0,27,30.630784748304436,1690.6613014005125,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,Customer has issues with bills.,0
0,2,55.8475660631088,82.68742456231763,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,No issues reported.,1
0,39,84.71460049305254,6217.791160943647,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,No issues reported.,0
1,56,83.78714115048219,6528.160805323122,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,Customer has issues with bills.,1
1,13,104.71520864825993,7983.560917675903,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,No issues reported.,0
0,56,32.34695024436057,3308.2830437295356,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,No issues reported.,0
0,66,61.45894465240444,172.28480786166105,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,Customer has issues with bills.,0
0,56,28.02105400160569,1891.8052315857785,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,No issues reported.,0
0,28,57.40432246808213,4709.674159471511,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,No issues reported.,0
0,64,19.76829828156429,7696.238277273179,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,Customer has issues with bills.,1
0,71,108.52644304356775,844.9881032020124,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,No issues reported.,1
0,64,71.21792168128245,988.6154536680087,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,No issues reported.,0
0,56,103.65512721063654,5619.5147807502035,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,No issues reported.,0
0,41,24.27042245083806,5343.729911418253,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,No issues reported.,0
1,41,41.10954010252853,2017.7291015102237,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,No issues reported.,0
0,4,44.317689519728646,6508.568435680137,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,Customer has issues with bills.,0
0,57,57.1124952111982,1046.129831532242,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,No issues reported.,0
0,30,98.93807042595338,7407.289969546902,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,No issues reported.,0
1,46,57.09906631001501,1622.8366099308046,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,No issues reported.,1
0,56,38.81767972945586,667.5843009818451,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,Customer has issues with bills.,0
0,31,24.781521164046225,2728.230413712689,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,No issues reported.,0
0,7,26.23892070944509,1517.5522047606041,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,No issues reported.,1
0,54,94.63474419907823,4224.163122931355,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,Customer has issues with bills.,0
0,8,62.95270059918162,5500.487349666774,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,No issues reported.,0
0,55,91.23120276100154,3936.663309019101,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,Customer has issues with bills.,0
0,69,86.8198557372516,5291.052570682271,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,Customer has issues with bills.,0
0,44,31.85392740690591,2930.9543158120755,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,No issues reported.,0
0,13,32.61023738632285,241.12119050951475,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,No issues reported.,0
0,20,94.16187255113046,7792.986323534084,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,No issues reported.,1
1,32,90.73746349528443,6558.603739862108,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,Customer has issues with bills.,0
0,60,56.24209207086819,604.2606991374802,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,Customer has issues with bills.,0
0,50,26.030937464950426,3603.463700020822,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,Customer has issues with bills.,1
0,27,19.465851180694447,5086.813462546185,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,No issues reported.,0
0,25,47.20977342090536,1539.5258191431526,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,No issues reported.,0
0,52,19.176838495516307,4631.610598744801,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,No issues reported.,0
0,68,41.37229842092219,4277.6998576608485,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,No issues reported.,0
0,21,60.409824391239525,1680.5706685868797,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,Customer has issues with bills.,0
0,18,30.452284413851395,1145.3553860753125,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,Customer has issues with bills.,0
0,39,28.7299146620704,6076.09725516356,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,No issues reported.,0
0,15,108.34196228973303,2593.054366554839,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,No issues reported.,0
0,53,77.08973791680037,1966.1205309953257,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,No issues reported.,0
0,38,112.16279651965954,5907.8105425092,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,No issues reported.,0
1,48,53.005529460460764,5893.366282554436,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,No issues reported.,0
0,52,86.30306620158089,2224.418920461697,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,Customer has issues with bills.,0
0,72,38.821513299489936,6982.873315596983,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,No issues reported.,0
0,28,80.39320188663409,5511.690755066169,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,No issues reported.,1
1,16,31.27336586600343,2778.0535455970617,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,No issues reported.,0
1,16,18.459104237216717,3430.3655153614013,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,No issues reported.,1
0,35,111.8689460416627,5818.665035676709,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,Customer has issues with bills.,1
0,17,74.01688480560853,1707.0592582135932,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,No issues reported.,0
1,52,111.40753660959497,3759.7814553391195,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,No issues reported.,0
0,12,51.800068132058236,5234.789298318587,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,No issues reported.,1
0,48,51.192499950756556,4324.392535568547,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,Customer has issues with bills.,0
0,22,58.51582767818969,4873.774774923189,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,Customer has issues with bills.,1
0,49,89.20711888779591,4377.981617698786,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,Customer has issues with bills.,0
